"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"155","TAGAP",1.83266731391431e-74,-4.10605327588585,0.136,0.416,4.54868027313532e-70
"156","C1QC",2.15890981710593e-74,3.98850501681029,0.527,0.039,5.35841416605693e-70
"157","TGFBI",3.09661698113804e-74,3.99857914473819,0.513,0.023,7.68580334718461e-70
"158","RPL11",3.81624209527189e-74,1.81485538807161,0.659,0.108,9.47191288046484e-70
"159","RPS7",6.95890835299236e-74,1.62378795911001,0.724,0.158,1.7272010532127e-69
"160","CSF2RB",7.32186696541843e-74,-2.40460146974554,0.512,0.698,1.81728738081685e-69
"161","RPL18",1.48245923653625e-73,1.60922525891681,0.727,0.156,3.67946382508297e-69
"162","HEXB",2.99252800443122e-73,2.03424023400871,0.654,0.119,7.4274545069983e-69
"163","RPS21",3.65563583435425e-73,1.54408882645964,0.726,0.162,9.07328814086724e-69
"164","FTL",4.72650607748641e-73,1.46217044909791,0.823,0.33,1.17311880843213e-68
"165","CSTB",7.41555198034784e-73,2.61598972870306,0.557,0.05,1.84054000152233e-68
"166","MTHFD2",1.85464711065385e-72,2.40346840360813,0.576,0.066,4.60323412864285e-68
"167","PEBP1",1.92480903479137e-72,2.1451476164932,0.619,0.096,4.77737602435218e-68
"168","LOC102124611",2.06601136224869e-72,-1.76363349451649,0.701,0.794,5.12784020110125e-68
"169","LOC101867330",4.00579286130671e-72,1.97214884780615,0.614,0.092,9.94237788176325e-68
"170","RPL27",6.80709465168877e-72,1.5916921203484,0.719,0.156,1.68952089254915e-67
"171","MAFB",5.8123926673232e-71,3.22684232467841,0.517,0.037,1.44263586002962e-66
"172","MAN2B1",8.1187108230733e-71,1.36925394960716,0.814,0.277,2.01506402628679e-66
"173","RTN4",8.47689632362349e-71,1.46453993005188,0.68,0.133,2.10396566752335e-66
"174","RPL10",8.96682744017276e-71,1.82330147286266,0.652,0.119,2.22556657065088e-66
"175","RPLP2",2.60724632998848e-70,2.16886849494384,0.573,0.064,6.47118539103142e-66
"176","ND3",6.86044975612319e-70,0.975269843366394,0.803,0.233,1.70276362946978e-65
"177","LOC102126012",7.53706491861302e-70,2.75623085443554,0.534,0.046,1.87069951279975e-65
"178","TUBA1B",3.18440603939884e-69,1.55048303363059,0.738,0.188,7.90369578978792e-65
"179","PPIB",6.68594388593894e-69,2.18453198310569,0.575,0.073,1.65945127249005e-64
"180","GIMAP4",1.09898645865579e-68,2.64403781988536,0.537,0.05,2.72768439038367e-64
"181","LOC102123677",1.91383466724249e-68,1.91817977625502,0.59,0.078,4.75013764409586e-64
"182","LOC102125550",3.11761839329558e-68,1.95577900381951,0.599,0.089,7.73792885215963e-64
"183","TUBB",3.2798857619868e-68,2.49892783993057,0.552,0.064,8.14067646125124e-64
"184","CD44",5.32369889414115e-68,1.1324744531577,0.852,0.332,1.32134206552583e-63
"185","LHFPL2",1.69542509338714e-67,3.29348219550645,0.496,0.03,4.20804508178688e-63
"186","RSAD2",2.4263983921545e-67,-4.78158527175562,0.074,0.302,6.02232080932747e-63
