"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.82493620168119e-31,0.732534134491726,0.54,0.246,9.4934916525727e-27,"11","CEBPB"
4.2043374329672e-31,0.742912298857739,0.342,0.123,1.04351655086246e-26,"11","NCK1"
5.92599150820181e-31,0.564977856876714,0.893,0.513,1.47083109233569e-26,"11","MPEG1"
6.17008041416054e-31,1.3036714855241,0.289,0.096,1.53141395879465e-26,"11","MGST2"
7.26345820184783e-31,0.841850179329176,0.444,0.182,1.80279032569863e-26,"11","RRAS"
7.91549463672575e-31,0.812321248386336,0.588,0.287,1.96462576883533e-26,"11","BCAP31"
9.11281543645745e-31,0.798609357477871,0.791,0.495,2.26180079132874e-26,"11","YBX1"
1.1971759784026e-30,0.985015257444598,0.337,0.122,2.97139077839526e-26,"11","SLC12A9"
1.24105863871557e-30,1.09289768474549,0.283,0.093,3.08030754129204e-26,"11","CD300LD"
1.30829317965874e-30,0.814291546621249,0.618,0.323,3.247183671913e-26,"11","TXN"
1.31772261337076e-30,0.96780824211076,0.348,0.127,3.27058752638623e-26,"11","KRT10"
1.72831686865402e-30,0.913068228122474,0.374,0.144,4.28968246799928e-26,"11","ADK"
2.02673895371351e-30,1.73656071675276,0.259,0.083,5.03036608311694e-26,"11","SPATA6"
2.36245943088697e-30,0.848036731203165,0.698,0.422,5.86362430746145e-26,"11","MX1"
2.53929459221368e-30,0.697024087436483,0.436,0.179,6.30252917787435e-26,"11","GDE1"
3.19230186102858e-30,0.611090299250118,0.447,0.182,7.92329321907292e-26,"11","LPP"
3.33226269116611e-30,0.727970594493777,0.291,0.097,8.27067599947429e-26,"11","RNFT1"
3.43600206323948e-30,0.789848295353844,0.791,0.516,8.52815712096038e-26,"11","TMBIM6"
3.6797497907324e-30,1.18704872402259,0.281,0.094,9.13313898059782e-26,"11","ACBD6"
4.28285411357093e-30,0.980167748528146,0.251,0.077,1.06300439098831e-25,"11","MERTK"
4.88943553040761e-30,0.889812343181694,0.642,0.339,1.21355789864717e-25,"11","UCP2"
5.10740432450277e-30,0.865169653231002,0.548,0.256,1.26765775334159e-25,"11","AP1B1"
5.34123168327408e-30,1.03520280120997,0.302,0.104,1.32569370378863e-25,"11","DUSP23"
6.09166836584511e-30,0.963136809276023,0.38,0.15,1.51195208840276e-25,"11","NQO2"
6.57866522648858e-30,0.999112393194026,0.259,0.083,1.63282470921447e-25,"11","ANO10"
7.13247979030399e-30,0.90314076173991,0.35,0.13,1.77028148395345e-25,"11","LOC102141134"
8.16091813346435e-30,0.775227697132476,0.463,0.197,2.02553988072585e-25,"11","PRKACB"
1.44011836006888e-29,0.771519322303535,0.455,0.193,3.57437376969097e-25,"11","FEZ2"
1.58407415470575e-29,1.22359835642527,0.262,0.085,3.93167205197968e-25,"11","FAM104B"
1.60785218494951e-29,0.790407230231501,0.481,0.207,3.99068912304469e-25,"11","MOSPD2"
1.75771338694601e-29,1.04965911381605,0.299,0.104,4.36264462640001e-25,"11","HSDL2"
1.86018854067925e-29,1.04766846596105,0.34,0.126,4.6169879579659e-25,"11","PDCD2"
2.11438730784638e-29,0.839497199171174,0.366,0.139,5.24790929807473e-25,"11","SMPDL3A"
2.19260612989434e-29,0.758922581645823,0.698,0.381,5.44204841439775e-25,"11","PRELID1"
2.2059248000304e-29,0.795889927301574,0.508,0.235,5.47510535367545e-25,"11","POLR2E"
2.65458364575599e-29,0.693138824168033,0.834,0.566,6.58867660876636e-25,"11","LAMP1"
2.72806451513276e-29,0.84057046743701,0.353,0.134,6.77105612655952e-25,"11","GMFB"
4.40169524601114e-29,0.96393575303277,0.275,0.092,1.09250076005996e-24,"11","XPR1"
5.26404781614176e-29,0.80682451387807,0.575,0.279,1.30653666796638e-24,"11","TSPAN4"
6.63508467801533e-29,0.798138506530655,0.492,0.222,1.64682801708341e-24,"11","PDCD6IP"
